name,formula,category,equation_type,coeffs,tier,Tmin_K,Tmax_K,molar_mass_gmol,unit,source,note
Kovar (Fe-Ni-Co),-,Metals & Alloys,linear,"{""c0"": 0.46, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Beryllium Copper (C17200),-,Metals & Alloys,linear,"{""c0"": 0.42, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Magnesium Alloy AZ31B,-,Metals & Alloys,linear,"{""c0"": 1.04, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Zamak 3 (Zn-Al Die Casting Alloy),-,Metals & Alloys,linear,"{""c0"": 0.419, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Tool Steel (H13),-,Metals & Alloys,linear,"{""c0"": 0.46, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Grey Cast Iron (Class 30),-,Metals & Alloys,linear,"{""c0"": 0.46, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Tin-Lead Solder (60Sn-40Pb),-,Metals & Alloys,linear,"{""c0"": 0.176, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Lead-Free Solder (SAC305),-,Metals & Alloys,linear,"{""c0"": 0.23, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Yttrium Oxide (Yttria),Y2O3,Ceramics,linear,"{""c0"": 102.0, ""c1"": 0.01}",3,298.0,1500.0,225.81,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Cerium Oxide (Ceria),CeO2,Ceramics,linear,"{""c0"": 62.0, ""c1"": 0.008}",3,298.0,1500.0,172.11,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Lanthanum Oxide,La2O3,Ceramics,linear,"{""c0"": 108.0, ""c1"": 0.01}",3,298.0,1500.0,325.81,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Strontium Titanate,SrTiO3,Ceramics,linear,"{""c0"": 97.9, ""c1"": 0.012}",3,298.0,1200.0,183.49,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Barium Titanate,BaTiO3,Ceramics,linear,"{""c0"": 107.0, ""c1"": 0.014}",3,298.0,1200.0,233.19,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Lead Titanate,PbTiO3,Ceramics,linear,"{""c0"": 92.0, ""c1"": 0.012}",3,298.0,1000.0,303.1,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Zinc Oxide (Zincite),ZnO,Ceramics,linear,"{""c0"": 40.3, ""c1"": 0.005}",3,298.0,1500.0,81.38,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Tin(IV) Oxide (Cassiterite),SnO2,Ceramics,linear,"{""c0"": 52.6, ""c1"": 0.006}",3,298.0,1500.0,150.71,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Magnesium Aluminate Spinel,MgAl2O4,Ceramics,linear,"{""c0"": 117.0, ""c1"": 0.014}",3,298.0,1800.0,142.27,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Aluminium Nitride,AlN,Ceramics,linear,"{""c0"": 30.1, ""c1"": 0.006}",3,298.0,1500.0,40.99,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Titanium Nitride,TiN,Ceramics,linear,"{""c0"": 37.6, ""c1"": 0.005}",3,298.0,1500.0,61.87,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Tungsten Carbide,WC,Ceramics,linear,"{""c0"": 39.8, ""c1"": 0.005}",3,298.0,1500.0,195.85,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Boron Carbide,B4C,Ceramics,linear,"{""c0"": 52.8, ""c1"": 0.008}",3,298.0,1500.0,55.25,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Titanium Carbide,TiC,Ceramics,linear,"{""c0"": 33.8, ""c1"": 0.005}",3,298.0,1500.0,59.89,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Vanadium Pentoxide,V2O5,Ceramics,linear,"{""c0"": 127.5, ""c1"": 0.015}",3,298.0,900.0,181.88,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Niobium Pentoxide,Nb2O5,Ceramics,linear,"{""c0"": 132.0, ""c1"": 0.015}",3,298.0,1200.0,265.81,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Barium Oxide,BaO,Ceramics,linear,"{""c0"": 47.3, ""c1"": 0.006}",3,298.0,1500.0,153.33,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Strontium Oxide,SrO,Ceramics,linear,"{""c0"": 44.9, ""c1"": 0.006}",3,298.0,1500.0,103.62,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Lithium Oxide,Li2O,Ceramics,linear,"{""c0"": 54.0, ""c1"": 0.007}",3,298.0,1400.0,29.88,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Hafnium Oxide,HfO2,Ceramics,linear,"{""c0"": 60.3, ""c1"": 0.007}",3,298.0,1800.0,210.49,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Yttrium Aluminium Garnet (YAG),Y3Al5O12,Ceramics,linear,"{""c0"": 365.0, ""c1"": 0.028}",3,298.0,1500.0,593.62,molar,"Corrected after internal consistency check: original recalled value (147 J/mol.K) failed a Dulong-Petit plausibility check against other oxide ceramics. Replaced with value consistent with commonly cited laser-crystal specific heat (~0.60-0.63 J/g.K, e.g. Nd:YAG thermal-modelling literature) x molar mass. Still Tier 3 - verify before submission.",
Silicon Dioxide (Cristobalite),SiO2,Ceramics,linear,"{""c0"": 44.2, ""c1"": 0.006}",3,298.0,523.0,60.08,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Zircon (Zirconium Silicate),ZrSiO4,Ceramics,linear,"{""c0"": 98.7, ""c1"": 0.011}",3,298.0,1800.0,183.31,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Indium Arsenide,InAs,Semiconductors,linear,"{""c0"": 45.0, ""c1"": 0.003}",3,298.0,1200.0,189.74,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Indium Antimonide,InSb,Semiconductors,linear,"{""c0"": 47.4, ""c1"": 0.003}",3,298.0,800.0,236.57,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Gallium Phosphide,GaP,Semiconductors,linear,"{""c0"": 44.0, ""c1"": 0.003}",3,298.0,1400.0,100.7,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Aluminium Arsenide,AlAs,Semiconductors,linear,"{""c0"": 45.0, ""c1"": 0.003}",3,298.0,1800.0,101.9,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Zinc Selenide,ZnSe,Semiconductors,linear,"{""c0"": 47.9, ""c1"": 0.004}",3,298.0,1500.0,144.35,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Zinc Sulphide,ZnS,Semiconductors,linear,"{""c0"": 45.9, ""c1"": 0.004}",3,298.0,1400.0,97.46,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Lead Sulphide (Galena),PbS,Semiconductors,linear,"{""c0"": 49.5, ""c1"": 0.004}",3,298.0,1300.0,239.3,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Lead Telluride,PbTe,Semiconductors,linear,"{""c0"": 49.6, ""c1"": 0.004}",3,298.0,1200.0,334.8,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Bismuth Telluride (thermoelectric),Bi2Te3,Semiconductors,linear,"{""c0"": 124.0, ""c1"": 0.012}",3,298.0,800.0,800.76,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Cadmium Sulphide,CdS,Semiconductors,linear,"{""c0"": 45.1, ""c1"": 0.004}",3,298.0,1300.0,144.47,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Cadmium Selenide,CdSe,Semiconductors,linear,"{""c0"": 45.8, ""c1"": 0.004}",3,298.0,1300.0,191.37,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Amorphous Silicon (thin-film),a-Si,Semiconductors,linear,"{""c0"": 20.5, ""c1"": 0.003}",3,298.0,1000.0,28.085,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
Silicon-Germanium Alloy (Si0.8Ge0.2),Si0.8Ge0.2,Semiconductors,linear,"{""c0"": 21.6, ""c1"": 0.003}",3,298.0,1200.0,36.99,molar,"Anchor Cp(298K), compound-semiconductor literature (typical) - verify against NIST-JANAF/primary source before submission",
"Indium Tin Oxide (ITO, transparent conductor)",In2O3-SnO2,Semiconductors,linear,"{""c0"": 0.34, ""c1"": 0.0004}",3,298.0,800.0,,specific,Typical transparent-conducting-oxide value (display/touchscreen industry) - representative,
Acrylonitrile Butadiene Styrene (ABS),ABS,Polymers,linear,"{""c0"": 1.4, ""c1"": 0.0025}",2,250.0,380.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Polyoxymethylene / Acetal (POM),POM,Polymers,linear,"{""c0"": 1.47, ""c1"": 0.0025}",2,250.0,440.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
"Polyurethane (rigid, solid resin)",PU,Polymers,linear,"{""c0"": 1.8, ""c1"": 0.003}",2,250.0,400.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Polybutylene Terephthalate (PBT),PBT,Polymers,linear,"{""c0"": 1.3, ""c1"": 0.0025}",2,250.0,490.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Polyphenylene Sulphide (PPS),PPS,Polymers,linear,"{""c0"": 1.1, ""c1"": 0.002}",2,250.0,550.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Polyetheretherketone (PEEK),PEEK,Polymers,linear,"{""c0"": 1.34, ""c1"": 0.0022}",2,250.0,615.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Polysulfone (PSU),PSU,Polymers,linear,"{""c0"": 1.3, ""c1"": 0.0022}",2,250.0,460.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
"Polyimide (Kapton-type, PI)",PI,Polymers,linear,"{""c0"": 1.09, ""c1"": 0.002}",2,250.0,670.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Cellulose Acetate,CA,Polymers,linear,"{""c0"": 1.5, ""c1"": 0.0025}",2,250.0,500.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Natural Rubber (cis-polyisoprene),NR,Polymers,linear,"{""c0"": 1.88, ""c1"": 0.003}",2,200.0,350.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Styrene-Butadiene Rubber (SBR),SBR,Polymers,linear,"{""c0"": 1.88, ""c1"": 0.003}",2,200.0,350.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Silicone Rubber (PDMS),PDMS,Polymers,linear,"{""c0"": 1.46, ""c1"": 0.0025}",2,200.0,500.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
"Polylactic Acid (PLA, bioplastic)",PLA,Polymers,linear,"{""c0"": 1.8, ""c1"": 0.0028}",2,250.0,430.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
"Phenolic Resin (Bakelite, thermoset)",Phenolic,Polymers,linear,"{""c0"": 1.5, ""c1"": 0.002}",2,250.0,470.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
"Polyacrylonitrile (PAN, carbon-fibre precursor)",PAN,Polymers,linear,"{""c0"": 1.26, ""c1"": 0.0022}",2,250.0,500.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
"Polyvinylidene Fluoride (PVDF, piezoelectric)",PVDF,Polymers,linear,"{""c0"": 1.3, ""c1"": 0.0022}",2,250.0,450.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Ultra-High Molecular Weight Polyethylene (UHMWPE),UHMWPE,Polymers,linear,"{""c0"": 2.3, ""c1"": 0.003}",2,200.0,400.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
"Polyhydroxyalkanoate (PHA, bioplastic)",PHA,Polymers,linear,"{""c0"": 2.0, ""c1"": 0.0028}",3,250.0,430.0,,specific,"Typical value, Mark's Polymer Data Handbook / ATHAS Databank-type source - representative, verify before submission",
Lead Crystal Glass (high-Pb optical),PbO-SiO2,Glasses,linear,"{""c0"": 0.5, ""c1"": 0.0003}",3,293.0,700.0,,specific,"Corning/Schott/AZoM-type optical-glass data sheet, typical value - representative",
"Chalcogenide Glass (As2Se3, IR optics)",As2Se3,Glasses,linear,"{""c0"": 0.36, ""c1"": 0.0002}",3,200.0,450.0,,specific,"Corning/Schott/AZoM-type optical-glass data sheet, typical value - representative",
Bioactive Glass (45S5 Bioglass),Na2O-CaO-P2O5-SiO2,Glasses,linear,"{""c0"": 0.84, ""c1"": 0.0005}",3,293.0,800.0,,specific,"Corning/Schott/AZoM-type optical-glass data sheet, typical value - representative",
Optical Crown Glass (BK7-type),SiO2-B2O3-Na2O-K2O-BaO,Glasses,linear,"{""c0"": 0.858, ""c1"": 0.00045}",2,293.0,800.0,,specific,Schott/Corning-type data sheet typical value - cross-checked order of magnitude vs known silicate-glass Cp,
Optical Dense Flint Glass (high-Pb),SiO2-PbO,Glasses,linear,"{""c0"": 0.5, ""c1"": 0.0003}",3,293.0,700.0,,specific,"Corning/Schott/AZoM-type optical-glass data sheet, typical value - representative",
E-Glass Fibre (aluminoborosilicate),SiO2-CaO-Al2O3-B2O3,Glasses,linear,"{""c0"": 0.84, ""c1"": 0.0005}",2,293.0,900.0,,specific,Schott/Corning-type data sheet typical value - cross-checked order of magnitude vs known silicate-glass Cp,
Vycor Glass (96% silica),SiO2 (96%),Glasses,linear,"{""c0"": 0.79, ""c1"": 0.0004}",3,293.0,1200.0,,specific,"Corning/Schott/AZoM-type optical-glass data sheet, typical value - representative",
"Fluoride Glass (ZBLAN, IR fibre optics)",ZrF4-BaF2-LaF3-AlF3-NaF,Glasses,linear,"{""c0"": 0.6, ""c1"": 0.00025}",3,200.0,550.0,,specific,"Corning/Schott/AZoM-type optical-glass data sheet, typical value - representative",
"Germanate Glass (GeO2-based, IR optics)",GeO2,Glasses,linear,"{""c0"": 0.48, ""c1"": 0.00025}",3,293.0,700.0,,specific,"Corning/Schott/AZoM-type optical-glass data sheet, typical value - representative",
Silica Refractory Brick,SiO2 (refractory grade),Refractories,linear,"{""c0"": 0.96, ""c1"": 0.0003}",3,293.0,700.0,,specific,Typical refractory-engineering handbook value (ASM/Engineering Toolbox) - representative,
High-Alumina Brick (70-90% Al2O3),Al2O3-SiO2 (refractory),Refractories,linear,"{""c0"": 0.92, ""c1"": 0.00025}",3,293.0,900.0,,specific,Typical refractory-engineering handbook value (ASM/Engineering Toolbox) - representative,
Chrome-Magnesite Brick,Cr2O3-MgO,Refractories,linear,"{""c0"": 0.85, ""c1"": 0.00025}",3,293.0,900.0,,specific,Typical refractory-engineering handbook value (ASM/Engineering Toolbox) - representative,
"Insulating Firebrick (IFB, lightweight)",aluminosilicate (porous),Refractories,linear,"{""c0"": 1.0, ""c1"": 0.0003}",3,293.0,700.0,,specific,Typical refractory-engineering handbook value (ASM/Engineering Toolbox) - representative,
Carbon-Bonded MgO Brick (ladle refractory),MgO-C,Refractories,linear,"{""c0"": 1.05, ""c1"": 0.0003}",3,293.0,900.0,,specific,Typical refractory-engineering handbook value (ASM/Engineering Toolbox) - representative,
Chromite Refractory,FeCr2O4,Refractories,linear,"{""c0"": 0.71, ""c1"": 0.0002}",3,293.0,900.0,,specific,Typical refractory-engineering handbook value (ASM/Engineering Toolbox) - representative,
Calcium Aluminate Castable Refractory,CaO-Al2O3,Refractories,linear,"{""c0"": 0.96, ""c1"": 0.0003}",3,293.0,800.0,,specific,Typical refractory-engineering handbook value (ASM/Engineering Toolbox) - representative,
Graphite-MgO Slide-Gate Refractory,C-MgO,Refractories,linear,"{""c0"": 0.9, ""c1"": 0.00025}",3,293.0,900.0,,specific,Typical refractory-engineering handbook value (ASM/Engineering Toolbox) - representative,
Zircon Refractory,ZrSiO4,Refractories,linear,"{""c0"": 98.7, ""c1"": 0.011}",3,298.0,2000.0,183.31,molar,Anchor Cp(298K) from standard compound thermodynamic compilations (Barin/Kubaschewski-type); representative slope - verify against NIST-JANAF/primary source before submission,
Molybdenum Disilicide (heating elements),MoSi2,Refractories,linear,"{""c0"": 61.5, ""c1"": 0.008}",3,298.0,1900.0,152.14,molar,"Anchor Cp(298K), refractory-metal-silicide literature (typical) - verify before submission",
Flax Fibre / PLA Biocomposite,flax/PLA,Composites,const,"{""c0"": 1.6}",3,293.0,380.0,,specific,"Kopp-Neumann rule-of-mixtures estimate, ASM Handbook Vol.21 methodology - representative",
Basalt Fibre Reinforced Polymer (BFRP),basalt/epoxy,Composites,const,"{""c0"": 1.0}",3,250.0,450.0,,specific,"Kopp-Neumann rule-of-mixtures estimate, ASM Handbook Vol.21 methodology - representative",
Titanium Matrix Composite (Ti/SiC),Ti/SiCf,Composites,const,"{""c0"": 0.58}",3,293.0,800.0,,specific,"Kopp-Neumann rule-of-mixtures estimate, ASM Handbook Vol.21 methodology - representative",
Copper-Graphite Composite (electrical contacts),Cu-C,Composites,const,"{""c0"": 0.55}",3,293.0,700.0,,specific,"Kopp-Neumann rule-of-mixtures estimate, ASM Handbook Vol.21 methodology - representative",
Portland Cement Concrete,cement-aggregate,Composites,const,"{""c0"": 0.92}",2,293.0,500.0,,specific,"Typical civil-engineering handbook value for structural concrete - widely reproduced, order-of-magnitude cross-checked",
Reinforced Concrete (steel rebar),concrete+steel,Composites,const,"{""c0"": 0.85}",2,293.0,500.0,,specific,"Typical civil-engineering handbook value for structural concrete - widely reproduced, order-of-magnitude cross-checked",
Structural Plywood (wood composite),wood laminate,Composites,const,"{""c0"": 1.7}",3,250.0,400.0,,specific,"Kopp-Neumann rule-of-mixtures estimate, ASM Handbook Vol.21 methodology - representative",
Carbon Nanotube / Epoxy Nanocomposite,CNT/epoxy,Composites,const,"{""c0"": 1.15}",3,250.0,420.0,,specific,"Kopp-Neumann rule-of-mixtures estimate, ASM Handbook Vol.21 methodology - representative",
Graphene / Polymer Nanocomposite,graphene/epoxy,Composites,const,"{""c0"": 1.18}",3,250.0,420.0,,specific,"Kopp-Neumann rule-of-mixtures estimate, ASM Handbook Vol.21 methodology - representative",
Aluminium Honeycomb / CFRP Sandwich Panel,Al-honeycomb/CFRP,Composites,const,"{""c0"": 0.85}",3,250.0,450.0,,specific,"Kopp-Neumann rule-of-mixtures estimate, ASM Handbook Vol.21 methodology - representative",
Sulphur (rhombic),S,Other,linear,"{""c0"": 22.6, ""c1"": 0.006}",2,298.0,368.0,32.06,molar,Cp(298K)=22.6 J/mol.K is a well-documented elemental value (CRC Handbook) - cross-checked,
"Phosphorus (red, amorphous)",P,Other,linear,"{""c0"": 21.2, ""c1"": 0.005}",3,298.0,700.0,30.974,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
"Selenium (grey, trigonal)",Se,Other,linear,"{""c0"": 25.0, ""c1"": 0.005}",3,298.0,490.0,78.97,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Tellurium,Te,Other,linear,"{""c0"": 25.7, ""c1"": 0.005}",3,298.0,720.0,127.6,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Iodine (solid),I2,Other,linear,"{""c0"": 54.4, ""c1"": 0.008}",2,250.0,386.0,253.81,molar,Cp(298K)=54.4 J/mol.K is a well-documented molecular-solid value (CRC Handbook),
"Paraffin Wax (PCM, solid phase)",CnH2n+2,Other,linear,"{""c0"": 2.15, ""c1"": 0.0035}",2,250.0,320.0,,specific,Well-documented phase-change-material literature value (thermal energy storage),
"Glauber's Salt (Na2SO4.10H2O, PCM)",Na2SO4.10H2O,Other,const,"{""c0"": 1.93}",3,250.0,305.0,,specific,Typical salt-hydrate PCM literature value - representative,
Nitinol (NiTi Shape-Memory Alloy),NiTi,Other,linear,"{""c0"": 0.837, ""c1"": 0.0002}",2,293.0,400.0,,specific,Well-documented biomedical/actuator-alloy literature value (e.g. Johnson Matthey / SAES datasheets),
Zr-Based Bulk Metallic Glass,Zr-Cu-Al-Ni (amorphous),Other,const,"{""c0"": 0.42}",3,293.0,600.0,,specific,Typical bulk-metallic-glass literature value - representative,
Lithium Cobalt Oxide (battery cathode),LiCoO2,Other,linear,"{""c0"": 97.6, ""c1"": 0.01}",3,298.0,700.0,97.87,molar,"Anchor Cp(298K), battery-materials literature (typical) - verify before submission",
Lithium Iron Phosphate (battery cathode),LiFePO4,Other,linear,"{""c0"": 98.0, ""c1"": 0.01}",3,298.0,700.0,157.76,molar,"Anchor Cp(298K), battery-materials literature (typical) - verify before submission",
"Fullerene (Buckminsterfullerene, C60)",C60,Other,const,"{""c0"": 0.68}",3,200.0,400.0,,specific,Representative literature value for solid C60 - verify before submission,
Zinc (liquid),Zn,Metals & Alloys,shomate,"{""A"": 31.38004, ""B"": -9.647635e-09, ""C"": 6.798541e-09, ""D"": -1.574453e-09, ""E"": -3.249003e-10}",1,692.73,1180.0,65.38,molar,"NIST Chemistry WebBook SRD 69 (Chase, 1998)",Liquid phase heat capacity without extrapolation
Copper (liquid),Cu,Metals & Alloys,shomate,"{""A"": 32.8445, ""B"": -8.4e-05, ""C"": 3.2e-05, ""D"": -4e-06, ""E"": -2.8e-05}",1,1358.0,2843.0,63.546,molar,"NIST Chemistry WebBook SRD 69 (Chase, 1998)",Liquid phase heat capacity without extrapolation
Lead (liquid),Pb,Metals & Alloys,shomate,"{""A"": 38.00449, ""B"": -14.62249, ""C"": 7.255475, ""D"": -1.03337, ""E"": -0.330775}",1,600.6,2019.0,207.2,molar,"NIST Chemistry WebBook SRD 69 (Chase, 1998)",Liquid phase heat capacity without extrapolation
Magnesium (liquid),Mg,Metals & Alloys,shomate,"{""A"": 34.30901, ""B"": -7.471e-10, ""C"": 6.146e-10, ""D"": -1.598e-10, ""E"": -1.152e-11}",1,923.0,1366.0,24.305,molar,"NIST Chemistry WebBook SRD 69 (Chase, 1998)",Liquid phase heat capacity without extrapolation
Aluminium (liquid),Al,Metals & Alloys,shomate,"{""A"": 31.75, ""B"": 0, ""C"": 0, ""D"": 0, ""E"": 0}",1,933.47,2792.0,26.982,molar,"NIST-JANAF Thermochemical Tables (Chase, 1998) / Dinsdale (SGTE)",Liquid phase heat capacity without extrapolation
Iron (liquid),Fe,Metals & Alloys,shomate,"{""A"": 46.024, ""B"": 0, ""C"": 0, ""D"": 0, ""E"": 0}",1,1811.0,3134.0,55.845,molar,"NIST-JANAF Thermochemical Tables (Chase, 1998)",Liquid phase heat capacity without extrapolation
Tin (liquid),Sn,Metals & Alloys,shomate,"{""A"": 30.5, ""B"": 0, ""C"": 0, ""D"": 0, ""E"": 0}",1,505.08,2875.0,118.71,molar,NIST-JANAF Thermochemical Tables / Dinsdale (SGTE),Liquid phase heat capacity without extrapolation
Water (liquid),H2O,Other,shomate,"{""A"": -203.606, ""B"": 1523.29, ""C"": -3196.413, ""D"": 2474.455, ""E"": 3.855326}",1,273.15,373.15,18.015,molar,NIST Chemistry WebBook SRD 69,Liquid phase
Steam (Water gas),H2O,Other,shomate,"{""A"": 30.092, ""B"": 6.832514, ""C"": 6.793435, ""D"": -2.53448, ""E"": 0.082139}",1,373.15,1700.0,18.015,molar,NIST Chemistry WebBook SRD 69,Gas phase
Gallium (liquid),Ga,Other,shomate,"{""A"": 28.1, ""B"": 0, ""C"": 0, ""D"": 0, ""E"": 0}",1,302.91,2477.0,69.723,molar,NIST-JANAF Thermochemical Tables,Liquid phase
Silicon (liquid),Si,Semiconductors,shomate,"{""A"": 27.196, ""B"": 0, ""C"": 0, ""D"": 0, ""E"": 0}",1,1687.0,3538.0,28.085,molar,Dinsdale SGTE Data,Liquid phase
